GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,IS_HOME,POINTS_FOR,POINTS_AGAINST,WIN,MARGIN,FGA,FTA,OREB,TOV,MATCHUP,SEASON_ID
0022500156,2025-11-03,1610612750,MIN,Minnesota Timberwolves,0,125,109,1,16,78,35,14,17,MIN @ BKN,22025
0022500175,2025-11-05,1610612750,MIN,Minnesota Timberwolves,0,114,137,0,-23,83,17,9,17,MIN @ NYK,22025
0022500036,2025-11-07,1610612750,MIN,Minnesota Timberwolves,1,137,97,1,40,88,27,13,21,MIN vs. UTA,22025
0022500197,2025-11-09,1610612750,MIN,Minnesota Timberwolves,0,144,117,1,27,97,24,9,11,MIN @ SAC,22025
0022500205,2025-11-10,1610612750,MIN,Minnesota Timberwolves,0,120,113,1,7,89,28,7,11,MIN @ UTA,22025
0022500044,2025-11-14,1610612750,MIN,Minnesota Timberwolves,1,124,110,1,14,86,40,13,18,MIN vs. SAC,22025
0022500232,2025-11-15,1610612750,MIN,Minnesota Timberwolves,1,78,80,0,-2,61,16,5,9,MIN vs. DEN,22025
0022500080,2025-10-22,1610612751,BKN,Brooklyn Nets,0,117,136,0,-19,88,34,12,17,BKN @ CHA,22025
0022500091,2025-10-24,1610612751,BKN,Brooklyn Nets,1,124,131,0,-7,96,7,10,20,BKN vs. CLE,22025
0022500105,2025-10-26,1610612751,BKN,Brooklyn Nets,0,107,118,0,-11,87,24,11,12,BKN @ SAS,22025
0022500116,2025-10-27,1610612751,BKN,Brooklyn Nets,0,109,137,0,-28,86,18,15,14,BKN @ HOU,22025
0022500130,2025-10-29,1610612751,BKN,Brooklyn Nets,1,112,117,0,-5,88,27,15,16,BKN vs. ATL,22025
0022500149,2025-11-02,1610612751,BKN,Brooklyn Nets,1,105,129,0,-24,90,26,13,19,BKN vs. PHI,22025
0022500156,2025-11-03,1610612751,BKN,Brooklyn Nets,1,109,125,0,-16,89,38,18,12,BKN vs. MIN,22025
0022500173,2025-11-05,1610612751,BKN,Brooklyn Nets,0,112,103,1,9,86,35,10,14,BKN @ IND,22025
0022500031,2025-11-07,1610612751,BKN,Brooklyn Nets,1,107,125,0,-18,80,26,8,20,BKN vs. DET,22025
0022500192,2025-11-09,1610612751,BKN,Brooklyn Nets,0,98,134,0,-36,82,24,15,19,BKN @ NYK,22025
0022500207,2025-11-11,1610612751,BKN,Brooklyn Nets,1,109,119,0,-10,81,32,7,13,BKN vs. TOR,22025
0022500040,2025-11-14,1610612751,BKN,Brooklyn Nets,0,98,105,0,-7,89,16,7,7,BKN @ ORL,22025
0022500003,2025-10-22,1610612752,NYK,New York Knicks,1,119,111,1,8,86,36,9,14,NYK vs. CLE,22025
0022500018,2025-10-24,1610612752,NYK,New York Knicks,1,105,95,1,10,86,25,21,20,NYK vs. BOS,22025
0022500108,2025-10-26,1610612752,NYK,New York Knicks,0,107,115,0,-8,98,21,16,16,NYK @ MIA,22025
0022500125,2025-10-28,1610612752,NYK,New York Knicks,0,111,121,0,-10,92,23,17,13,NYK @ MIL,22025
0022500023,2025-10-31,1610612752,NYK,New York Knicks,0,125,135,0,-10,91,23,12,12,NYK @ CHI,22025
0022500153,2025-11-02,1610612752,NYK,New York Knicks,1,128,116,1,12,95,22,14,11,NYK vs. CHI,22025
0022500159,2025-11-03,1610612752,NYK,New York Knicks,1,119,102,1,17,94,20,12,12,NYK vs. WAS,22025
0022500175,2025-11-05,1610612752,NYK,New York Knicks,1,137,114,1,23,102,9,21,14,NYK vs. MIN,22025
0022500192,2025-11-09,1610612752,NYK,New York Knicks,1,134,98,1,36,89,26,15,14,NYK vs. BKN,22025
0022500208,2025-11-11,1610612752,NYK,New York Knicks,1,133,120,1,13,98,20,10,15,NYK vs. MEM,22025
0022500215,2025-11-12,1610612752,NYK,New York Knicks,1,107,124,0,-17,88,23,10,14,NYK vs. ORL,22025
0022500039,2025-11-14,1610612752,NYK,New York Knicks,1,140,132,1,8,104,29,20,8,NYK vs. MIA,22025
0022500081,2025-10-22,1610612753,ORL,Orlando Magic,1,125,121,1,4,90,35,9,15,ORL vs. MIA,22025
